sep=;
Turbine Master Data

Selected scope:
parks:,WVS,

Turbine,Park,Country,Controller Type,Manufacturer,Turbine Type,Rotor Diameter,Hub Height,Installed Power,Latitute,Longitude,Commision Year,
WVS01C,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.1372,7.95336,2023,
WVS02C,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.13104,7.95338,2023,
WVS03C,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.12488,7.9534,2023,
WVS04C,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.11874,7.95344,2023,
WVS05C,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.11261,7.95343,2023,
WVS06C,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.10646,7.95347,2023,
WVS07C,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.10026,7.95349,2023,
WVS08C,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.09411,7.95351,2023,
WVS09C,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.08798,7.95354,2023,
WVS10C,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.0818,7.95356,2023,
WVS11D,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.07564,7.95358,2023,
WVS12D,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.06949,7.9536,2023,
WVS13D,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.06331,7.95361,2023,
WVS14D,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.05717,7.95363,2023,
WVS15D,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.05101,7.95365,2023,
WVS16D,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.04486,7.95368,2023,
WVS17D,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.0387,7.9537,2023,
WVS18D,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.03255,7.95372,2023,
WVS19D,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.02641,7.95374,2023,
WVS20D,Vesterhav Syd,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.02022,7.95376,2023,
